缤	bbaa
濒	bbai
滨	bbaooa
髌	bbia
傧	bbio
镔	bbioo
摈	bbiuoo
豳	bbiv
宾	bbooui
斌	bbovvv
邠	bbuo
膑	bbuooa
鬓	bbvi
槟	bbvo
殡	bbvu
玢	bbvv
彬	bbvvuu
骠	bcaa
骉	bcaaa
瀌	bcao
婊	bcauvv
幖	bcia
蔈	bcii
藨	bciio
镖	bcio
镳	bcioo
儦	bciov
摽	bciu
俵	bciv
彪	bcivuu
裱	bcoavv
熛	bcou
瘭	bcov
飚	bcua
飑	bcuau
鳔	bcuav
脿	bcuv
膘	bcuvia
髟	bcvi
飙	bcvu
杓	bcvua
表	bcvvua
标	bcvvvi
别	bdoaii
鳖	bdou
蹩	bdouo
憋	bdouoa
瘪	bdov
绊	bfaaou
阪	bfai
湴	bfao
办	bfauoo
蝂	bfia
伴	bfio
钣	bfiou
扳	bfiu
拌	bfiuo
扮	bfiuu
搬	bfiuuu
昄	bfoi
粄	bfoo
半	bfouvv
瓣	bfov
𨭉	bfovi
瘢	bfovu
癍	bfovv
版	bfuiuu
颁	bfuo
攽	bfuou
般	bfuu
舨	bfuuu
靽	bfvi
坂	bfvo
板	bfvu
斑	bfvv
班	bfvvou
屏	bgavou
蛃	bgia
摒	bgiuav
昺	bgoi
炳	bgou
并	bgouvv
冰	bgov
禀	bgovi
病	bgovvi
饼	bgua
兵	bguiuo
秉	bguv
丙	bgvi
邴	bgvia
柄	bgvvia
败	bhaouv
拜	bhiu
伯	bhiui
摆	bhiuia
掰	bhiuu
捭	bhiuui
佰	bhiv
呗	bhoaoo
白	bhuiav
稗	bhuvui
柏	bhvu
百	bhvuoi
蔀	bjii
卜	bjio
钚	bjiov
堡	bjiovo
钸	bjiovu
捕	bjiu
步	bjiviu
补	bjoaio
晡	bjoi
卟	bjoio
怖	bjoo
哺	bjov
部	bjovai
瓿	bjovv
簿	bjuvav
逋	bjvi
醭	bjvii
埠	bjvo
埗	bjvoi
埔	bjvov
㘵	bjvovu
布	bjvuia
不	bjvuio
纰	bkaa
陛	bkai
泌	bkao
赑	bkaoa
婢	bkau
濞	bkaui
妼	bkauo
妣	bkauv
滗	bkauvo
壁	bkav
嬖	bkava
沘	bkavau
辟	bkavo
避	bkavoa
屄	bkavoo
襞	bkavov
臂	bkavu
璧	bkavv
弼	bkavvu
睥	bkia
髀	bkiau
畀	bkiav
蓖	bkii
薜	bkiia
苾	bkiio
蔽	bkiiou
荸	bkiiu
萆	bkiiui
荜	bkiiv
铋	bkio
佖	bkioa
俾	bkiu
裨	bkoa
邲	bkoaa
诐	bkoaau
必	bkoaou
闭	bkoi
跸	bkoiv
愎	bkoo
咇	bkooa
弊	bkou
鄙	bkoua
敝	bkouu
庇	bkov
哔	bkova
吡	bkovau
痹	bkovi
庳	bkovu
匕	bkua
狴	bkuav
鲾	bkuavo
币	bkui
鼻	bkuii
贲	bkuo
彼	bkuu
舭	bkuuv
秘	bkuv
箅	bkuvi
馝	bkuvo
篦	bkuvu
笔	bkuvuv
秕	bkuvv
筚	bkuvva
毙	bkva
毖	bkvao
比	bkvaua
毕	bkvauo
坒	bkvav
逼	bkvo
皕	bkvu
觱	bkvuu
碧	bkvv
珌	bkvvo
驳	blaa
波	blaaui
泊	blau
渤	blauo
浡	blauoo
剥	blav
擘	blavi
檗	blavv
嶓	blia
薄	blii
菠	bliia
蕃	bliiu
钵	blio
铂	bliou
钹	bliov
镈	bliovi
拨	bliuau
播	bliuuo
搏	bliuv
啵	bloa
袯	bloaa
踣	bloi
跛	bloiau
亳	blov
饽	blua
鲌	bluau
帛	blui
魄	bluiu
勃	bluo
鹁	bluou
博	bluovi
脖	bluu
舶	bluuu
膊	bluv
箔	bluva
